name,country,continent
Wagasi,Benin,Africa
Ayibe,Ethiopia,Africa
Caravane cheese,Mauritania,Africa
Chhana,Bangladesh,Asia
Chura kampo,China,Asia
Chura loenpa,China,Asia
Nguri,China,Asia
Rubing,China,Asia
Rushan,China,Asia
Bandel,India,Asia
Paneer,India,Asia
Chhana,India,Asia
Dahi Chhana,India,Asia
Kalari,India,Asia
Kalimpong cheese,India,Asia
Dangke,Indonesia,Asia
Sakura cheese,Japan,Asia
Imsil,Korea,Asia
Byaslag,Mongolia,Asia
Flower of Rajya,Nepal,Asia
Chhurpi,Nepal,Asia
Kesong puti,Philippines,Asia
Paneer,Sri Lanka,Asia
Mozzarella,Italy,Europe
Parmesan,Italy,Europe
Mozzarella cheese,Italy,Europe
Parmesan cheese,Italy,Europe
Parmigiano Reggiano,Italy,Europe
Djathë i bardhë,Albania,Europe
Kaçkavall,Albania,Europe
Djathë pice,Albania,Europe
Gjizë,Albania,Europe
Chechil,Armenia,Europe
Bachensteiner,Austria,Europe
Bergkäse,Austria,Europe
Brimsen,Austria,Europe
Gelundener Käse,Austria,Europe
Lüneberg cheese,Austria,Europe
Montafoner Sauerkäse,Austria,Europe
Mondseer,Austria,Europe
Staazer,Austria,Europe
Steirerkäse,Austria,Europe
Tyrolean grey,Austria,Europe
Brussels cheese,Belgium,Europe
Chimay cheeses,Belgium,Europe
Herve cheese,Belgium,Europe
Le Wavreumont,Belgium,Europe
Limburger cheese,Belgium,Europe
Maredsous cheese,Belgium,Europe
Passendale cheese,Belgium,Europe
Remoudou,Belgium,Europe
Rodoric,Belgium,Europe
Livno cheese,Bosnia and Herzegovina,Europe
Travnički (Vlašić) cheese,Bosnia and Herzegovina,Europe
Cherni Vit,Bulgaria,Europe
Kashkaval,Bulgaria,Europe
Sirene,Bulgaria,Europe
Paški sir,Croatia,Europe
Škripavac,Croatia,Europe
Tounjski,Croatia,Europe
Prgica,Croatia,Europe
Dimsi,Croatia,Europe
