name
dried basil
dried chervil
dried chives
dried cilantro
sage
dried curry leaves
dried fenugreek
dried mint
dried oregano
dried parsley
dried rosemary
dried shiso
dried tarragon
dried thai basil
dried thyme
ground basil
ground chervil
ground chives
ground cilantro
ground curry leaves
ground fenugreek
ground mint
ground oregano
ground parsley
ground rosemary
ground shiso
ground tarragon
ground thai basil
ground thyme
basil
chervil
chives
cilantro
curry leaves
fenugreek
mint
oregano
parsley
rosemary
shiso
tarragon
thai basil
thyme
